time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,15,5,0,0
2026-06-16 00:00:00+00:00,23,6,0,0
2026-06-17 00:00:00+00:00,22,7,0,0
2026-06-18 00:00:00+00:00,28,9,0,0
2026-06-19 00:00:00+00:00,27,7,0,0
2026-06-20 00:00:00+00:00,45,10,0,0
2026-06-21 00:00:00+00:00,19,5,0,0
2026-06-22 00:00:00+00:00,44,11,0,0
2026-06-23 00:00:00+00:00,38,10,0,0
2026-06-24 00:00:00+00:00,33,8,0,0
2026-06-25 00:00:00+00:00,27,8,0,0
2026-06-26 00:00:00+00:00,11,3,1,1
2026-06-27 00:00:00+00:00,8,3,0,0
2026-06-28 00:00:00+00:00,18,9,1,1
