time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,38,10,0,0
2026-06-24 00:00:00+00:00,33,8,0,0
2026-06-25 00:00:00+00:00,27,8,0,0
2026-06-26 00:00:00+00:00,11,3,1,1
2026-06-27 00:00:00+00:00,8,3,0,0
2026-06-28 00:00:00+00:00,18,9,1,1
2026-06-29 00:00:00+00:00,3,3,1,1
2026-06-30 00:00:00+00:00,16,7,0,0
2026-07-01 00:00:00+00:00,19,6,0,0
2026-07-02 00:00:00+00:00,14,5,0,0
2026-07-03 00:00:00+00:00,9,4,0,0
2026-07-04 00:00:00+00:00,15,6,1,1
2026-07-05 00:00:00+00:00,13,4,0,0
2026-07-06 00:00:00+00:00,25,7,1,1
